id,sentence,class
601,INSPECTION All items shall be subject to Buyer's final inspection and testing on Buyer's premises.,1
602,"(a) Nephros shall file, prosecute and maintain patent applications and resulting patents, if any, on Nephros Inventions and on any Joint Inventions insofar as they do not relate to manufacture of the Cartridge.",1
603,Nephros and Medica shall at the time of each report determine jointly the actions to be taken with respect to these findings.,1
604,"A complete list of the Services and associated costs, if any, such as, but not limited to, training, if any required, and a schedule of their performance; 7.",0
605,9.4 Definition of Recall.,0
606,"Autotote, if the parties agree, shall have Sisal supplied with software enhancements, training and support.",1
607,"MOPAC will assist Biopure's personnel in maintaining segregation of cattle received from Producers, identified as acceptable by Biopure, within the MOPAC Plant so that Materials will be derived only from cattle processed in the Spur Facility; and Biopure shall maintain sufficient personnel at the MOPAC Plant to so identify and segregate such cattle.",1
608,"Supplier will not use any such confidential information for any purpose, nor disclose it to anyone other than Supplier personnel, without prior written approval from Buyer, except as is necessary to fulfill its obligations or perform services as provided in this purchase order.",1
609,"For the avoidance of doubt, the Parties expressly agree that 3M does not grant to SEPRACOR, and this Agreement creates no obligation on 3M to grant to SEPRACOR, any right of reference to safety data concerning the drug substance albuterol (including salts such as the sulfate) alone or to data not generated by or on behalf of 3M.",1
610,970381 to NOVOSTE prior to XXXXX or over any consecutive XXXXX period once deliveries commence.,0
611,4.4 Nonconformity Default Rights.,0
612,"2.01 During the term of this Agreement and subject to the terms and provisions hereof, B&amp;W agrees to acquire and blend cut tobacco which will comply with Star's Specifications in sufficient quantities to manufacture for Star the quantities of cigarettes which Star orders from B&amp;W pursuant to the terms of this Agreement and B&amp;W agrees to manufacture, package and ship Star's designated requirements of the cigarettes for each Style/Brand in accordance with Star's Orders which conform to the terms and provisions of this Agreement.",1
613,The price paid by Nephros for any given shipment of Cartridges is as stated in Schedule 3.1.,0
614,DEFINITIONS.,0
615,c) Complaints shall be evaluated for confirmation both by Medica upon receipt and by Nephros following communication from Medica.,1
616,Eon shall notify DAS within thirty (30) days whether it accepts DAS's basis for any rejection.,1
617,"1.8 ""Products"" means the Brocade products identified on Exhibit A, which may be modified from time to time upon written agreement of the parties.",0
618,"On November 24th, 1994 the parties hereto concluded an agreement under the term ""RESTENOSIS THERAPY PROJECT DEVELOPMENT AND SUPPLY AGREEMENT"", amended by the ""FRAME AGREEMENT CONTAINING PURCHASE ORDER PROVISION AND INVESTMENT GRANT"" dated November 15, 1996 (hereinafter referred to as the ""FrameworkAgreement""), dealing et.",0
619,10.,0
620,"(b) Each Purchase Order shall include the total amount of Product ordered in Lot Quantities with a [******] and the required Delivery Date, which shall be no less than [******] after the receipt by Eon of such Purchase Order.",1
621,"Nephros acknowledges that it and its designee may be permitted only to review, rather than obtain copies of, certain proprietary documents of Medica; Medica shall at Nephros's request provide Nephros with a copy of any other document that Nephros requests.",1
622,"For purposes of this Section 1.3, Nephros will be deemed to have purchased from Medica any Cartridges that it purchases from any Person other than Medica to replace Cartridges ordered from Medica that constitute ""Default Cartridges"" under the terms of this agreement.",1
623,3.3 Delivery.,0
624,Customer may increase production volumes if additional line time is available and such additional line time does not conflict with Contractor's commitments to other customers.,1
625,7 Maintenance Services mean all services required to operate the Equipment and Software in conformance with all Statements of Work and Specifications in the contract and the mutually agreed to detection and correction of any Equipment or Software errors.,0
626,4.2 Conditions to Rejection.,0
627,"1.13 ""TABLETS"" shall mean [******].",1
628,"(d) This Letter Agreement may be executed in any number of counterparts, each of which shall be an original, but all of which together shall constitute one instrument.",1
629,"1.6 If any of Contractor's Facility, process, inventories or equipment are in an unsanitary condition or do not otherwise comply with applicable laws, rules and regulations or with the terms and conditions of this Agreement or the Contractor's HACCP Plan, Contractor shall promptly take such action to correct the deficiencies and bring such Contractor's Facility, process, inventories and equipment into compliance with applicable laws, rules and regulations and in particular, but without limitation, the Contractor's HACCP plan, all within the terms and conditions of this Agreement 1.7 Contractor agrees to produce and package Product in compliance with the specifications, formulas and standards set forth or referenced in Exhibit II.",1
630,"RECITALS: WHEREAS, JANSSEN and ACT II have entered into the Agreement; and WHEREAS, JANSSEN and ACT II have also entered into an Addendum to the Agreement, dated as of August 1, 2001 (the ""Addendum""), regarding the expansion of ACT II's manufacturing facilities; and WHEREAS, the parties now wish to enter into this Amendment regarding the further expansion of ACT II's manufacturing facilities, and the financial responsibility of each of the parties in connection with such expansion; NOW, THEREFORE, in consideration of the mutual promises contained herein and other good and valuable consideration, the receipt and sufficiency of which is hereby acknowledged, the parties agree as follows: 1.",0
631,"86 NTCC90HA 9/25 Pin OC192 OPC Interface to an External Modem (65 ft.) 4 NTCC90BB Ethernet cable 40m OC192 MI or OPC to Ethernet LAN 17 NTCC8930 9/25 Pin User Interface Modem Access Cable 20m (66ft) 17 NT7E44EA 9/25 Pin User Interface Cable (5m) 79 NT7E44MA Null Modem Adaptor 79 A0704477 SM Optical Patchcord 1 M (3.3 FT) (SCtuned) 8 NT7E46HA SM Optical Patchcord 5m (SCtuned) 1024 NT7E46HB SM Optical Patchcord 10m (SCtuned) 564 A0780967 1dB, SC Ultra PC, Plug Type Attenuator [JDS part FA1103501HP5] 314 A0788118 2dB, SC Ultra PC, Plug Type Attenuator [JDS part FA1103502HP5] 48 A0780969 3dB, SC Ultra PC, Plug Type Attenuator [JDS part FA1103503HP5] 231 A0733558 5dB, SC Ultra PC, Plug Type Attenuator [JDS part FA1103505HP5] 44 A0733589 10dB, SC Ultra PC, Plug type Attenuator [JDS part FA1103510HP5] 194 NTCA91AB 7 FT. HD Mechanical Bay Assembly with Trib Shelf 21 NTCA44AA 2 External Synchronization InterFace 42 NTCA26AA HDX65 Switch Module (65 Gb/s) 42 NTZP17BD OC192 Maintenance Interface with S/W Release 1 Connect DX 22 NTCA06FP OC192 AM2 T/R 1533.47nm +/ CHIRP 20 NTCA06GP OC192 AM2 T/R 1535.04nm +/ CHIRP 20 NTCA06XP OC192 AM2 T/R 1555.75nm +/ CHIRP 20 NTCA06LP OC192 AM2 T/R 1557.36nm +/ CHIRP 20 NTCA30CK OC48 Tributary Tx/Rx Short Reach (1310nm, Univ.)",0
632,"For purposes of this Article 8, ""recall"" means any action by Nephros or any of its Affiliates, or either Medica or any of its Affiliates, to recover title or possession or halt distribution or use of any Cartridges sold or shipped to any other Persons.",0
633,"At the request of any party hereto or to any such agreement or instrument, each other party hereto or thereto shall reexecute original forms thereof and deliver them to all other parties.",1
634,"It is understood that MOPAC shall not include in establishing MOPAC's cost, for purposes of this maximum and for the &quot;Asset Agreement,&quot; as defined in Article IV, any costs for MOPAC's personnel (other than design, engineering and maintenance personnel) or any allocation of other MOPAC operating, selling, general or administrative or other costs or expenses.",1
635,"2.5, within the following date, at the Autotote's factory indicated: DATE QUANTITY FACTORY .",0
636,"If more than 28 days have passed since the delivery date for any Cartridges and Medica has, for any reason other than an Event of Force Majeure, failed to deliver those Cartridges, then, in addition to any other remedies it might have under this agreement or by law, Nephros may cancel that purchase order or the portion thereof relating to those cartridges, as applicable, and those Cartridges will constitute Default Cartridges for purposes of Section 1.3.",1
637,DAS shall [******] conducting such studies on [******].,1
638,3.4.1 Delivery to European Community customer.,0
639,Each such update must consist of a repetition of the eight later months of the immediately preceding Rolling Forecast along with a forecast for the month subsequent to the last month in the previous Rolling Forecast.,1
640,"Title to the Bailed Property shall at all times remain vested in Motorola, but the risk of loss and damage to any item of the Bailed Property shall pass to ASE during such time as the item is in ASE's possession or control.",1
641,(D) ASE agrees to use commercially reasonable efforts to accommodate mix and option changes required by Motorola's business needs.,1
642,Copies of Software.,0
643,"This limitation does not, however, apply to any obligation of either party to indemnify the other in connection with any Third Party Claim.",1
644,Late payments will be subject to a finance charge of 1% per month.,1
645,"Licensed Net Selling Price"" shall mean the * offered by JANSSEN, its Affiliates or licensees in a given calendar year (or such shorter period as may be applicable) to independent third parties for each Presentation Form of the Final Product for sale in the United States, its territories and possession, less deductions for (i) trade, cash and ordinary business discounts allowed; (ii) allowances or credits to customers on account of rejection or return of Final Product; and (iii) managed care rebates or allowances and mandatory price allowances imposed by governments.",1
646,5.01 Identification of the goods to the contract shall occur and therefore title and risk of loss will transfer to Star when they are placed in the hands of the carrier.,1
647,Article 9 CARTRIDGE RECALLS 9.1 Cartridge Recalls.,0
648,"PERFORMANCE OF ACTIVITIES.""AMENDMENT TO AGREEMENT THIS AMENDMENT (the """"Amendment"""")",0
649,"""DIE"" means an integrated circuit chip as cut (diced) from a finished wafer.",0
650,"Each party signing this LOA represents that it is a party that entered into the Purchase Agreement, and has authority to amend the Purchase Agreement as set forth herein.",0
651,8.4.,0
652,"All such packing shall be performed in accordance with good manufacturing practices prevailing in the industry and in strict compliance with all HACCP regulations and procedures and with the specifications, manufacturing process and quality control standards and coding systems set forth in Exhibit 2 attached hereto and made a part hereof.",1
653,"(a) Except as specified elsewhere in Section 10.4, all rights in patents, inventions, processes, discoveries, and other research materials and any other novel or valuable information reflected in any medium that arise or are created during the course of this agreement are the property of the creating party.",0
654,Article 2 FORECASTS 2.1 Rolling Forecasts.,0
655,"If the failure of ASE to so utilize any item of the Bailed Property is caused by a final adjudication of bankruptcy or insolvency of ASE, Motorola shall be entitled to take possession of the Bailed Property immediately and without notice.",1
656,"The ""PACKAGING SPECIFICATIONS"" for the Product are set forth in Exhibit IA.",1
657,9.3 Recall Due to Breach By Medica.,0
658,Such Product Supplies shall be ordered in quantities mutually agreed to by Customer and Contractor.,1
659,"Also, the definitions set forth below, apply to this Article: Installation Date means the dates by which the Equipment or Materials which have been delivered are to be installed and ready for use in accordance with ATP.",0
660,(d) The nonfiling party is entitled to review and comment in a timely manner on any such patent filings (applications and response to office actions) prior to submission to the relevant patent offices.,0
661,Equipment includes as a component thereof any Media fixedly embedded therein in that it is not normally replaced except for maintenance and repair.,0
662,INVOICING OF PRODUCT AND PAYMENTS 4.1.,0
663,"The Software and all copies thereof will at all times remain the sole and exclusive property of Supplier or its licensor, as applicable, and Customer shall obtain no title to the Software.",1
664,Article 5 PRODUCTION PROCESS 5.1 Joint Review Committee.,0
665,"2.5, the following amount per Terminal: U.S.$4,600.00 5.3.",0
666,"(C) Motorola shall have the right to assign, from time to time, its employees (the ""MOTOROLA EMPLOYEES"") at the ASE Facility to perform work in connection with this Agreement.",1
667,"Services mean (1)Maintenance Services and other services in support of purchased Equipment and (2) the subject matter called for by any Order, specifications, drawings, and samples.",0
668,Any such license will expire upon termination of this agreement and will not be transferable or sublicensable.,1
669,2.4.,0
670,"Prior to delivery, Supplier reserves the right to make substitutions, modifications and improvements to the Equipment and Software, provided that such substitution, modification or improvement shall not diminish or materially affect the performance of the Software applications as they were originally demonstrated to and agreed upon by Customer and Supplier.",1
671,"Upon execution, please return both originals for execution by Nortel Networks to Saundra Adams, 4010 East Chapel HillNelson Highway, Research Triangle Park, North Carolina 27709, Dept.",1
672,"This Agreement, the agreements referred to herein, and each other agreement or instrument entered into in connection herewith or therewith or contemplated hereby or thereby, and any amendments hereto or thereto, to the extent signed and delivered by means of a facsimile machine, shall be treated in all manners and respects as an original agreement or instrument and shall be considered to have the same binding legal effect as if it were the original signed version thereof delivered in person.",1
673,RECORDS AND AUDITS 7.1.,0
674,For further reference see Para.,0
675,Contractor further warrants that all critical control points will be monitored at regularly scheduled intervals and such monitoring will be appropriately documented.,1
676,Medica may not without the prior written consent of Nephros provide Cartridges to any Person other than Nephros.,1
677,Star will execute such additional instruments as B&amp;W may reasonably request in order to perfect the purchase money security interest hereby reserved.,1
678,"Further, for the avoidance of doubt and notwithstanding anything in this Agreement to the contrary, SEPRACOR shall have no right or license to 3M Patent Rights or 3M KnowHow, including the right to reference regulatory data, and 4 3M shall have no obligation to develop, supply, license, or provide access to 3M KnowHow, including any regulatory data, for any Product other than Licensed Product 3.2 3M and SEPRACOR shall each identify the contact person at their respective offices to serve as the recipient of communications concerning the Scaleup Program.",1
679,Publication by Medica of any information relating to the Cartridge is subject to the provisions of Section 10.2.,0
680,6.,0
681,"Contractor's obligations with respect to scheduling of production, use of pallets, storage, handling and shipment of Product are as set forth below and in Exhibit I attached hereto and made a part hereof.",0
682,"Delivery, Shipment, Risk of Loss.",0
683,"[redacted] Rejected items will be returned to Supplier at Supplier's request and risk of loss, [redacted].",1
684,"Article 1.7 of the Agreement shall be deleted in its entirety and replaced with a new Article 1.7 which shall read as follows: 1.7 ""Manufacturing Fee"" shall mean the fee to be paid by JPI and JANSSEN US to ACT II for each Presentation Form of the Product in consideration for the Manufacture of Products supplied to each of them in accordance with the terms hereof and which fee will be calculated as a percentage of the U.S.",1
685,TERM 6.1.,0
686,8.2 Access to Medica Facilities and Records.,0
687,At all times during the term of this agreement Medica shall maintain those Permits and secure any additional Permits that become necessary.,1
688,"Except as expressly set forth in the EndUser License Agreements provided by Supplier with the goods delivered hereunder, nothing stated in these Terms and Conditions shall be deemed to grant, assign or otherwise transfer any rights, title or interest in the NavTech Database or related software to Buyer or any third party.",1
689,The US$ XXXXX price is exclusive of freight and packaging.,0
690,"Omissions are designated as ""XXXXX"".",0
691,"(2) No more than 10 days transpire between date of manufacture and receipt by NOVOSTE (just in time delivery), (3) The date of manufacture cannot predate the desired delivery date in NOVOSTE's purchase order by 30 days (should BEBIG decide to build on a speculative basis prior to a NOVOSTE purchase order).",1
692,with the supply of SeedTrains to NOVOSTE.,0
693,Nephros sells systems it has developed for treating endstage renal disease.,0
694,Contractor shall not disclose any such information to any person within its organization not having a need to know and shall only use such information in connection with the production and packaging of Product.,1
695,Medica shall use commercially reasonable efforts to develop technical knowhow that would permit them to manufacture the Cartridge less expensively and shall no less than semiannually furnish the Joint Review Committee with a detailed report as to their progress in this area.,1
696,7.,0
697,Page 3 of 4 Except as expressly amended by this Side Letter No.,0
698,"Unless otherwise agreed, invoice payment terms for all purchases made under this Agreement shall be net ten (10) calendar days on a per order basis and are subject to credit review by Supplier.",1
699,"Supplier may arrange for insurance and standard commercial shipping, the costs of which will be invoiced to Customer.",1
700,"Article 1.3 of the Agreement shall be deleted in its entirety and replaced with a new Article 1.3 which shall read as follows: 1.3 ""Final Product"" shall mean a Presentation Form approved and marketed by JANSSEN, their Affiliates and licensees, ready for sale to the final customer.",1
701,All originals and copies of documented business and technical information identified or reasonably identifiable as confidential or proprietary to Customer shall be and remain the exclusive property of Customer at all times and shall be returned to Customer upon the cancellation or termination of this Agreement.,1
702,"The terms and conditions of this Agreement: (i) shall be deemed incorporated into and made a part of each Order, and (ii) shall not be modified, supplemented, or superseded by any terms or conditions in a purchase order or acknowledgment or acceptance thereof except as expressly agreed to in a writing separate from such purchase order signed by authorized representatives of both Parties and specifying the extent to which such purchase order overrides the terms and conditions of this Agreement.",1
703,"(b) Nephros shall at its cost obtain and maintain productliability insurance coverage in the amount of $5,000,000 in relation to the Cartridge.",1
704,"1.8 ""CAPITAL AGREEMENT"" has the meaning set forth in Section 14.1.",0
705,"Forecasts, Requirements, Minimum Production Quantities.",0
706,"MOPAC owns and operates a slaughterhouse located at Souderton, Pennsylvania (the &quot;MOPAC Plant&quot;).",0
707,"If returned equipment is found not to be in breach of warranty, Supplier's costs for packing, rigging, transportation and insurance will be reimbursed by Company upon receipt of documentation demonstrating such, and company's concurrence with such findings.",1
708,Exclusive Sale and Purchase; Project Plan.,0
709,(a) Biopure shall pay for the Materials the prices set forth in Exhibit I.3 hereto within 14 days of receipt of any invoice.,1
710,"If the fair market value cannot be determined in any given country, the fair market value will be determined by the value of such Final Product sold to similar customers in countries with similar pricing and reimbursement structures and for similar quantities.",1
711,Motorola agrees to commence qualification procedures of the ASE Kaohsiung Facility and the ASE Test Kaohsiung Facility to perform the Work within a reasonable period of time following the effective date of this Agreement.,1
712,"6.6 3M and SEPRACOR shall discuss and agree to quality assurance and quality control responsibilities, to be set forth as Schedule 6.6 and signed by the Parties, including a batch release and record review process utilizing certificates of compliance and analysis and other reporting documents as appropriate between 3M and SEPRACOR.",1
713,"1.6 ""NET MARGIN"" shall mean revenue actually received by DAS for Product sold by DAS, less discounts, rebates, shelf adjustments, stock adjustments, returns for credit and including the price paid to Eon for the Product, and transportation cost for Product shipped to DAS's distribution center/warehouse.",1
714,I.3 Quantities; Price.,0
715,"Indemnitees means Company, its Customers, officers, directors, employees and representatives, others doing work under its immediate or ultimate direction and control, its intermediaries in the distribution chain, and its successors and assigns.",0
716,10.3 Preexisting and Independently Developed Intellectual Property.,0
717,JCC shall meet quarterly.,1
718,"The working prototype of the Terminal shall be deemed accepted by Sisal if said working prototype performs all the material functions and has the features, charateristics and functions described in Exhibit 1.",1
719,ASE shall allow the Motorola Employees to be active participants on problemsolving teams with respect to the manufacture of the Contract Products.,1
720,"1.8 ""3M Confidential Information"" means confidential information disclosed by 3M to SEPRACOR in the course of and pursuant to this Agreement relating to aerosol 2 inhalation, or aerosol compositions, including: the specifications and chemistry of aerosol formulations of Compound developed by 3M or its Affiliates; metered dose inhaler devices and their specifications; the methods and techniques used by 3M to manufacture aerosol inhalers and metered dose devices; and confidential information directly or indirectly provided by 3M to assist SEPRACOR to obtain a licence or approval permitting the sale of Licensed Product, including clinical results for metered dose devices 1.9 ""SEPRACOR Confidential Information"" means confidential information disclosed by SEPRACOR to 3M in the course of and pursuant to this Agreement relating to Compound, aerosol inhalation, or aerosol compositions, including: the specifications and chemistry of formulations of the Compound developed by SEPRACOR or its Affiliates; metered dose inhaler devices and their specifications for delivery of Compound; SEPRACOR's clinical and nonclinical development plans; SEPRACOR's clinical data; and forecasts of requirements of Licensed Product.",0
721,It is hereby agreed that Addendum Number 1 to the Purchase Agreement shall be stricken effective as of the date set forth above.,1
722,"Recitals WHEREAS, Customer desires that Contractor pack apple juice and apple grape juice products in 64 ounce PET plastic packaging for the WIC program on an exclusive basis as well as such juice products and additional juice products in 64 ounce PET plastic packing for general sale by Customer as well as other juice products in different size containers as Customer and Contractor may from time to time agree on Said Products are set forth in Exhibit I attached hereto and made a part hereof.",0
723,"Star will provide weekly orders, for its weekly requirements.",1
724,"DAS's designated facilities in accordance with DAS's instructions and no earlier than three (3) days prior to the applicable Delivery Date, subject to the commercial availability of the raw material [******].",1
725,"However, for serious, unexpected events, notice must be given by telephone and fax to the appropriate representative of the other party immediately after receipt of the information and followed by written notice not more than one business day thereafter.",1
726,3.3.,0
727,Article 8 INSPECTIONS; RECORDS 8.1 Notification of Inquiries and Inspections.,0
728,"BAILMENT OR CONSIGNMENT OF MOTOROLA PROPERTY TO ASE (A) As used in this Agreement, the term ""Bailed Property"" shall mean and include any and all Die, material, components or equipment owned by Motorola and provided to ASE under bailment or consignment for the performance of the Work.",1
729,3.7 Invoices and Payment Terms.,0
730,The parties may change the SLA from time to time without amending Exhibit C or this Agreement.,1
731,"INVOICING AND PAYMENT Invoices, together with copies of packing slips, must be mailed promptly in accordance with the instructions on the face of this order.",1
732,"1.6 ""BULK API"" means the bulk form of API manufactured by a Third Party manufacturer and provided to Patheon for use in manufacturing the Finished Product in accordance with the terms and conditions of this Agreement.",0
733,4.5 Acceptance of Cartridges.,0
734,"All business and technical information, whether in written or oral form and including, but not limited to, technical knowhow, specifications, formulas, manufacturing process and quality control standards, coding systems, instructions and procedures, which Customer may disclose to Contractor or to any employee, agent or representative of Contractor, shall be received and retained by Contractor and its employees, agents and representatives as strictly confidential and, except as provided for herein, may not be disclosed to any third party.",1
735,"Its terms and conditions shall not be altered, canceled or changed without Customer's prior consent until ten (10) days after termination or cancellation of this Agreement.",1
736,Motorola shall have the right to approve such changes if customer approval is required.,1
737,b) Both parties will work together in good faith to find an economic solution for trains that do not meet these conditions.,1
738,"In the event of an inspection by the FDA or any other Regulatory Authority that relates to the Product or the manufacture thereof, Eon shall notify DAS within twenty (20) business days in writing of the details and results of any such investigation.",1
739,Footwear shall form a research and development operating committee (which shall be maintained to consider Footwear's research and development needs and direction) and Manufacturer shall have the right to designate a representative to serve on such committee.,1
740,"(C) Unless otherwise agreed, ASE shall provide a written notice to Motorola * prior to making any changes that may affect any of the Contract Products.",1
741,Supplier warrants that the Software provided under this Agreement substantially complies with the representations made by Supplier when demonstrating the Software.,1
742,"The initial Site Specific Term Sheet Form is set out on Attachment F. Software means intangible Information provided in object code form constituting one or more computer or apparatus programs and the informational content of such programs, together with any documentation supplied in conjunction with and supplementing such programs, the foregoing being provided to Company by way of electronic transmission or by being fixed in Media furnished to Company.",0
743,"Article 1.5 of the Agreement shall be deleted in its entirety and replaced with Article 1.5(a) and Article 1.5(b) which shall read as follows: 1.5(a) ""U.S.",1
744,"This Agreement does not constitute authorization to deliver any Material; provided, however, that Biopure shall make the minimum payments to MOPAC set forth on Exhibit I.3 on a &quot;takeorpay&quot; basis, regardless of quantities actually delivered in the respective years indicated.",1
745,"11 EQUIPMENT MODIFICATION In the event that supplier cannot provide the requested modifications, Company may substitute components or supplement the Equipment by making alterations or installing attachments to modify the range or features that the Equipment provides.",1
746,"Unless Customer and Contractor mutually agree in writing upon a different system, Contractor shall ship Product unitized in a pallet pattern supplied by Customer.",1
747,"1.3 ""Product"" means a pressandbreathe inhaler containing a pressurized aerosol canister with a metered dose valve filled with a formulation of the Compound (as defined below) that SEPRACOR has selected having the formulation, and meeting the Specifications, set forth in Schedule 1.12.",0
748,"On or prior to one month following the FID, Nephros shall deliver to Medica a forecast of how many Cartridges it will purchase for delivery in each of the nine consecutive months beginning two months following the FID.",1
749,"Within * of the Amendment Effective Date, the parties will meet to review and finalize the draft Third Line Plan.",1
750,"Warren, New Jersey, to facilitate the anticipated future procurement of Data Processing Equipment, the license of Software, and the purchase of Maintenance Services and Materials.",0
751,1.2 Nephros Exclusive Purchaser.,0
752,"AT&amp;T General Agreement for the Procurement of Data Processing Equipment, Services and Supplies, The License of Software, Between Clarent Corporation and AT&amp;T Corp. Agreement made September 17, 1998, by and between Clarent Corporation, (&quot;Supplier&quot;) a California corporation, having a place of business at 850 Chesapeake Drive, Redwood City, CA 94063 and AT&amp;T Corp. (&quot;AT&amp;T Corp.&quot;), a New York corporation, having a place of business at 10 Independence Blvd.",0
753,(f) Medica and Nephros shall promptly disclose to each other in writing each invention and discovery conceived or reduced to practice in connection with this agreement.,1
754,"In the event the laboratory cannot conclude whether the Product conforms or not to the Specifications, the Parties shall equally share the laboratory expenses.",1
755,2.6 MINIMUM PURCHASES.,0
756,Price and Taxes.,0
757,Acceptance by Buyer of all or part of the items shall not constitute a waiver by Buyer of its claims arising from delays in delivery.,1
758,"1.7 ""Scaleup Program"" means the development work conducted pursuant to the protocol and the work schedule indicating milestones and activities annexed hereto as Schedule 1.7 as amended in writing from time to time in accordance with the terms of this Agreement.",0
759,At a minimum these assets include the full production line used to produce the Strontium 90 Seed Trains and do not include assets which are also used in the production of other isotopes.,0
760,11 (g) Intellectual Property arising in connection with this agreement and in the possession of a party other than the party that owns that Intellectual Property will be treated as having been disclosed to that party by the party that owns that Intellectual Property and will constitute Confidential Information of the party that owns that Intellectual Property.,1
761,"(a) Except as required by Law or the standards of any securities or regulatory authority, including without limitation the National Association of Securities Dealers, Medica and Nephros may not make any official press release, announcement, or other formal publicity relating to the transactions that are the subject of this agreement without first obtaining in each case the prior written consent of Nephros and Medica, respectively (which consent may not be unreasonably withheld).",1
762,Any such purchase order will be deemed accepted by Medica if Medica does not reject it by written notice to Nephros delivered within seven Business Days of Medica's receiving that purchase order.,1
763,"Contractor shall prepare and submit to Customer the shipping documents and production and inventory control reports set forth herein, as well as such other reports and records as Customer may reasonably require to determine Contractor's compliance with the terms and conditions of this Agreement.",1
764,"Materials mean repair, maintenance or replacement parts for Equipment, Media not fixedly embedded in Equipment, and tangible supplies of other kinds which are for or associated with Equipment.",0
765,"1.11 ""PRODUCT ANDA"" shall mean the Abbreviated New Drug Application approval issued to Eon by the FDA and designated as ANDA #75434 (as defined below) for the Product, including any amendments or modifications thereto.",1
766,PRICE AND DELIVERY (A) Supplier shall furnish the items called for by this order in accordance with the prices and delivery schedule specified on the face of this order.,1
767,"If DAS rejects any Product and the laboratory determines that such Product does not conform with the Specifications, Eon shall at DAS's option either replace the nonconforming Product as soon as reasonably possible (but no later than sixty (60) days) or issue a refund therefor.",1
768,All invoices shall accurately reflect Customer's item number for all Product produced as invoiced.,1
769,(c) Medica shall store any fiber supplied by Membrana in accordance with guidelines supplied to Medica by Nephros or Membrana.,1
770,Biopure shall purchase Material hereunder by issuing a purchase order specifying quantity and delivery dates.,1
771,3.,0
772,2.5 Right to Modify Orders.,0
773,3M shall respond promptly to all inquiries by any Authority concerning the proprietary dossier or the DMF and share the general substance of the inquiry and the response with SEPRACOR.,1
774,"Equipment may include in its meaning, depending upon context, a system or systems consisting of tangible Equipment and intangible Software.",1
775,"MANUFACTURING SITE RESTRICTION All Work performed by ASE shall take place at the Chung Li Facility or, once they are qualified, at the ASE Kaohsiung Facility or the ASE Test Kaohsiung Facility.",1
776,"In the event Buyer wishes to inspect or test any items covered by this order on Supplier's premises, Buyer shall give Supplier reasonable notice and Supplier shall provide, without additional charge, reasonable facilities and assistance for such inspections and tests.",1
777,"2 Security Collaterals 2.1 The following items shall serve as security collateral: a) all assets situated in room 27 of BEBIG's premises, RobertRossleStra(beta)e 10, 13125 Berlin, which are used in the production of Strontium 90 SeedTrains for NOVOSTE and which are listed and attached as Exhibit 2.1 a to this Agreement (hereinafter referred to as the ""Premises"") at the date hereof or at any later point of time during the duration of the Framework Agreement (hereinafter referred to as the ""Security Collateral A"").",1
778,Provisions Applicable To License Of Software 1623 IV.,0
779,"Storage, handling, and modular pallet charges will be billed on a monthly basis.",1
780,"1 thereto, such contract being hereinafter referred to as the ""Contract.""",0
781,6 7 upon such lead times as Motorola and ASE shall mutually agree.,1
782,&quot;Stick&quot; means one cigarette.,0
783,i.,0
784,(B) Time is of the essence to the Buyer and the delivery schedule specified on this order must be strictly observed by Supplier both as to time and quantities.,1
785,"SEPRACOR shall provide to 3M all methods currently in use at a time during development to be agreed upon by the parties, and 3M shall be responsible for development of any methods used for process measurements and any additional raw material test methods.",1
786,[BMW LETTERHEAD] PURCHASING TERMS AND CONDITIONS REVISED VERSION FOR NAVIGATION TECHNOLOGIES 1.,0
787,ASE shall use its commercially reasonable efforts to deliver the exact quantity of the Contract Products ordered.,1
788,"Very truly yours, Agreed to and Accepted on behalf of IAE International Aero Engines AG New Air Corporation /s/ [Illegible] /s/ [Illegible] Name Name VP.",1
789,2.8 MANUFACTURE/DELIVERY.,0
790,"(c) Medica, on the one hand, and Nephros, on the other hand, shall share equally reasonable patent expenses for any Joint Invention, and shall promptly reimburse the filing party upon presentation of an invoice by the filing party.",1
791,RECITALS Biopure is in the business of developing oxygen carrying substances derived from bovine hemoglobin for in vivo use in humans and animals.,0
792,Please acknowledge SAVVIS' agreement with this LOA by having two copies of this LOA executed in the space below.,0
793,"RECITALS WHEREAS, Santarus is a specialty pharmaceutical company focused on acquiring, developing and commercializing products for the prevention and treatment of gastrointestinal diseases and disorders; WHEREAS, Patheon is a leading global provider of outsourced drug development and manufacturing services to pharmaceutical and biotechnology companies; WHEREAS, Santarus seeks to retain a contract manufacturer to manufacture and supply commercial quantities of its SAN05 ***; WHEREAS, Patheon possesses substantial resources, experience, and expertise in the manufacture of pharmaceutical products; and WHEREAS, the Parties mutually desire to enter into an agreement for the commercial manufacture and supply of Santarus' SAN05 product.",0
794,d. FOB and Insurance.,0
795,"""TECHNICAL INFORMATION"" means the information identified as technical information in any Supplement, which is used in relation to the Contract Products described in the same Supplement.",0
796,10.5 Limited License.,0
797,CONTENTS OF ORDER An Order for the purchase of Equipment or Materials shall be written on Company's purchase order form and shall contain the following: 1.,1
